yr|subject|winner
1983|Economics|Gerard Debreu
1948|Medicine|Paul MÃ¼ller
1938|Physics|Enrico Fermi
1923|Physics|Robert A. Millikan
2010|Peace|Liu Xiaobo
1989|Chemistry|Sidney Altman
1978|Peace|Anwar al-Sadat
1953|Medicine|Fritz Lipmann
1944|Physics|Isidor Isaac Rabi
2000|Literature|Gao Xingjian
1996|Physics|Robert C. Richardson
1920|Peace|LÃ©on Bourgeois
1978|Physics|Pyotr Kapitsa
2014|Physics|Hiroshi Amano
1972|Literature|Heinrich BÃ¶ll
1990|Medicine|Joseph E. Murray
1953|Literature|Winston Churchill
1949|Literature|William Faulkner
1997|Physics|William D. Phillips
1982|Literature|Gabriel GarcÃ­a MÃ¡rquez
1958|Medicine|George Beadle
1977|Literature|Vicente Aleixandre
2014|Peace|Kailash Satyarthi
1908|Medicine|Paul Ehrlich
1996|Medicine|Rolf M. Zinkernagel
2009|Economics|Elinor Ostrom
1969|Medicine|Salvador E. Luria
1975|Medicine|Howard M. Temin
1995|Chemistry|Mario J. Molina
1953|Medicine|Hans Krebs
1980|Physics|James Cronin
1977|Economics|James E. Meade
2014|Peace|Malala Yousafzai
1972|Economics|John R. Hicks
2013|Medicine|Randy W. Schekman
2008|Physics|Yoichiro Nambu
1901|Peace|FrÃ©dÃ©ric Passy
1986|Physics|Gerd Binnig
1963|Medicine|Andrew F. Huxley
1946|Peace|John R. Mott
1983|Chemistry|Henry Taube
1969|Physics|Murray Gell-Mann
2010|Physics|Konstantin Novoselov
1969|Peace|International Labour Organization
1931|Medicine|Otto Warburg
2002|Medicine|H. Robert Horvitz
1938|Medicine|Corneille Heymans
2005|Physics|John L. Hall
2010|Economics|Christopher A. Pissarides
1902|Physics|Pieter Zeeman
1933|Medicine|Thomas H. Morgan
1989|Economics|Trygve Haavelmo
1990|Literature|Octavio Paz
1911|Chemistry|Marie Curie
1931|Chemistry|Carl Bosch
1908|Literature|Rudolf Eucken
1978|Physics|Robert Woodrow Wilson
1911|Peace|Alfred Fried
1989|Medicine|J. Michael Bishop
1978|Medicine|Werner Arber
1996|Medicine|Peter C. Doherty
1952|Peace|Albert Schweitzer
2015|Peace|Tunisian National Dialogue Quartet
1923|Chemistry|Fritz Pregl
1998|Medicine|Robert F. Furchgott
1984|Literature|Jaroslav Seifert
1964|Medicine|Konrad Bloch
1934|Literature|Luigi Pirandello
1924|Medicine|Willem Einthoven
1986|Medicine|Stanley Cohen
1994|Medicine|Alfred G. Gilman
1990|Physics|Richard E. Taylor
2012|Physics|Serge Haroche
1996|Chemistry|Richard E. Smalley
1939|Chemistry|Leopold Ruzicka
1921|Physics|Albert Einstein
2007|Peace|Intergovernmental Panel on Climate Change
1947|Medicine|Bernardo Houssay
1959|Physics|Emilio SegrÃ¨
2001|Chemistry|K. Barry Sharpless
2011|Physics|Adam G. Riess
1948|Physics|Patrick M.S. Blackett
1963|Physics|J. Hans D. Jensen
1963|Medicine|Sir John Eccles
1977|Medicine|Rosalyn Yalow
1929|Chemistry|Arthur Harden
1997|Economics|Myron S. Scholes
1998|Chemistry|John Pople
1972|Chemistry|William H. Stein
1935|Chemistry|FrÃ©dÃ©ric Joliot
1937|Physics|George Paget Thomson
1947|Peace|American Friends Service Committee
1938|Literature|Pearl Buck
2004|Physics|Frank Wilczek
1971|Medicine|Earl W. Sutherland, Jr.
1988|Medicine|Gertrude B. Elion
1938|Chemistry|Richard Kuhn
2002|Peace|Jimmy Carter
2013|Chemistry|Michael Levitt
1903|Physics|Henri Becquerel
2001|Economics|A. Michael Spence
1918|Chemistry|Fritz Haber
1954|Medicine|Frederick C. Robbins
1916|Literature|Verner von Heidenstam
1906|Physics|J.J. Thomson
1917|Literature|Henrik Pontoppidan
2012|Chemistry|Brian K. Kobilka
1936|Medicine|Otto Loewi
2012|Economics|Alvin E. Roth
2011|Medicine|Jules A. Hoffmann
1984|Physics|Carlo Rubbia
